package	covered	total	pct	untested_fns
crypto	0	1	0.0	1
github.com/clearcompass-ai/ortholog-sdk	0	299	0.0	25
schema	44	93	47.3	5
exchange/auth	57	106	53.8	2
types	20	36	55.6	5
lifecycle	293	480	61.0	8
core/smt	296	452	65.5	16
did	341	506	67.4	17
core/envelope	394	579	68.0	4
builder	441	617	71.5	6
crypto/escrow	166	203	81.8	1
log	23	28	82.1	0
crypto/signatures	172	204	84.3	0
verifier	597	708	84.3	0
crypto/artifact	259	304	85.2	3
storage	160	186	86.0	0
exchange/identity	62	71	87.3	0
crypto/admission	95	107	88.8	0
witness	159	167	95.2	0
exchange/policy	16	16	100.0	0
